@id,@lon,@lat,name,opening_hours,website,addr:street
994059065,2.2413728,48.8371528,Kidiliz,,,
994059085,2.2415066,48.8373856,Zapa,,,
994059110,2.2417371,48.8369789,Damart,Mo-Sa 10:00-19:00,,
994059112,2.2414580,48.8374718,Des Petits Hauts,,,
994059115,2.2412993,48.8372836,Sergent Major,,,
994059118,2.2414455,48.8370234,Ba&sh,Mo-Sa 10:30-19:30,,
994059125,2.2413713,48.8376238,Ekyog,,,
994059135,2.2414024,48.8371000,Antonelle,Mo 12:00-19:00; Tu-Sa 10:00-19:00,,
994059142,2.2413408,48.8372098,Princesse TamTam,Tu-Sa 10:00-19:00; Mo 11:00-19:00,,
994059143,2.2412082,48.8374457,Du Pareil au Même,Mo-Sa 10:00-19:00,,
995502838,2.2474625,48.8268695,Smart Stock,,,
995502846,2.2479288,48.8261119,B 173,,,
995502859,2.2475039,48.8263380,Jean-Jacques,,,
998797603,2.2461229,48.8342573,Le Singe Bleu,,,
1000815095,2.2399030,48.8336978,Loup Y Es-Tu ?,,,
1000815226,2.2445297,48.8320495,Fernand Lystig,,,
1013351524,2.2312201,48.8406204,Atelier.Na,Mo-Sa 10:30-19:30,,
1020352067,2.3752922,48.8715603,Préférence,,,
1020391904,2.3740337,48.8710910,Arc en Ciel,,,
1022710323,2.3735800,48.8708862,Star,,,
1022710340,2.3734714,48.8708739,Leo-bra,,,
1022710357,2.3733967,48.8708220,Outlet 99,,,
1022719750,2.2589972,48.8414631,Val de Sayre,,,
1022752613,2.3737302,48.8709526,Romy,,,
1023168042,2.3743844,48.8710573,Loona,,,
1023168068,2.3734743,48.8706718,Téa Paris,,,
1023168095,2.3752354,48.8713377,L'Attrape Cœur,,,
1023168124,2.3750678,48.8712819,Fifi,,,
1023168145,2.3744869,48.8712697,Froc,,,
1023168240,2.3755016,48.8714341,Shinel,,,
1023168248,2.3732762,48.8706037,Vic Fel,,,
1023168251,2.3740449,48.8709181,Princesse,,,
1027995969,2.2374517,48.8442362,Joseph Curtis,,,
1027996044,2.2374910,48.8447129,Weekend Max Mara,,,
1027996055,2.2376811,48.8437262,Micha,,,
1027996095,2.2379335,48.8441228,L'Esprit de la Mode,,,
1037173732,2.2371461,48.8447991,Capricci,,,
1037173745,2.2372225,48.8447392,Edith Laagab,,,
1038210027,2.2391572,48.8410675,Bensimon Collection,We-Sa 11:00-14:00  15:00-19:00; Tu 11:00-14:00  16:00-19:00,,
1041097853,2.2394703,48.8409744,Dégrif des Stocks,Mo-Su 10:00-19:30,,
1041097963,2.2398132,48.8403702,Angela Morlant,Mo-Sa 10:00-14:00  14:30-19:30,,
1042766898,2.2474813,48.8329276,En Mode,,,
1079716173,2.3416951,48.8469773,Sandro,,,
1101942167,2.2541769,48.8334557,Le Grenier à Fringues,,,Avenue Pierre Grenier
1102552605,2.3473136,48.8872070,,,,Rue Ramey
1110309635,2.2442010,48.8326307,Dressing Code...,,,
1112959065,2.2429169,48.8338565,Loding,,,
1120431500,2.4859388,48.7977339,Camaïeu,,,
1163340053,2.2966179,48.8477048,Caroll,,,Rue du commerce
1163575037,2.2964320,48.8476970,Gerard Darel,,,
1166729097,2.3615631,48.8574136,Loft Design By…,,,
1166729138,2.3617134,48.8573534,Ted Baker,,,
1185808672,2.2408917,48.8409073,Café Coton,,,
1195361667,2.4855798,48.8036142,Bambi,,www.bambishop.fr,
1199074693,2.4861382,48.8007221,Troc à Suivre,,,
1199074912,2.4860519,48.7980140,Mahé,,,
1207293055,2.2358836,48.8454730,La Récré à Deux,,,
1224811432,2.4860121,48.7993299,Stop Grif,,,
1224811434,2.4860094,48.7992195,Stop Griffe,,,
1225461851,2.3621108,48.8666023,Tati,,,
1232684824,2.3324298,48.8731905,Louis Vuitton Galeries Lafayette,Mo-Sa 09:30-20:30  Su 11:00-19:00,,Boulevard Haussmann
1234664787,2.2628947,48.9697845,Plaisir d'Offrir  Plaisir Partagé,,,
1251064502,2.3078779,48.8478228,Rose & Théo,,,
1252379195,2.3896096,48.8384713,Stincel,Mo-Sa 10:00-13:30 14:30-19:30,,
1252379596,2.3927605,48.8384387,,,,
1252382941,2.3909358,48.8376790,Amazon,,,Rue de Charenton
1253957808,2.2377751,48.8462829,B. Garbo,,,
1253957811,2.2373470,48.8461017,Elles,,,
1255346305,2.2381366,48.8459284,Bonnie & Clyde,,,
1264875631,2.3110632,48.8513206,,,,
1272931925,2.4144991,48.8794363,Camaïeu,,,
1279440209,2.2866975,48.8753659,2M Lingerie-PàP,,,
1280192063,2.2366698,48.8434073,Acanthe,Tu-Sa 10:00-12:30  14:30-19:00,,
1280199143,2.2573861,48.8840416,Autre Regard,,,
1282084767,2.2605532,48.8865724,Bobine,,,
1288947950,2.2370207,48.8434418,Ghillies Factory,,,
1288947980,2.2369667,48.8433414,Tigibus,Tu-Sa 09:00-19:00; Su 09:30-12:30,,
1291532303,2.2582045,48.8845480,Le Local,,,
1292143858,2.3677874,48.8640053,Vintage Clothing Store,,,Rue de Crussol
1302120076,2.2596256,48.8854169,,,,
1307645898,2.3101105,48.8473412,Dagobert,,,
